3 6
ydcV b1443
ydcW b1444
ydcX b1445
ydcY b1446
ydcZ b1447
yncA b1448
yncB b1449
yncC b1450
yncD b1451
yncE b1452
ansP b1453
yncG b1454
yncH b1455
rhsE b1456
ydcD b1457
yncI b1458
yncM b1459
ydcC b1460
ydcE b1461
yddH b1462
nhoA b1463
yddE b1464
narV b1465
narW b1466
narY b1467
narZ b1468
narU b1469
yddJ b1470
yddK b1471
yddL b1472
yddG b1473
fdnG b1474
fdnH b1475
fdnI b1476
yddM b1477
adhP b1478
sfcA b1479
sra b1480
bdm b1481
osmC b1482
ddpF b1483
ddpD b1484
ddpC b1485
ddpB b1486
ddpA b1487
ddpX b1488
dos b1489
yddV b1490
yddW b1491
gadC b1492
gadB b1493
pqqL b1494
yddB b1495
yddA b1496
ydeM b1497
ydeN b1498
ydeO b1499
ydeP b1501
ydeQ b1502
ydeR b1503
ydeS b1504
ydeT b1505
yneL b1506
hipA b1507
hipB b1508
ydeU b1509
ydeK b1510
ydeV b1511
ydeW b1512
ego b1513
lsrC b1514
lsrD b1515
lsrB b1516
lsrF b1517
lsrG b1518
tam b1519
yneE b1520
uxaB b1521
yneF b1522
yneG b1523
yneH b1524
yneI b1525
yneJ b1526
yneK b1527
ydeA b1528
marC b1529
marR b1530
marA b1531
marB b1532
eamA b1533
ydeE b1534
ydeH b1535
ydeI b1536
ydeJ b1537
dcp b1538
ydfG b1539
ydfH b1540
ydfZ b1541
ydfI b1542
ydfJ b1543
ydfK b1544
pinQ b1545
tfaQ b1546
stfQ b1547
nohA b1548
ynfO b4533
ydfO b1549
gnsB b1550
ynfN b1551
cspI b1552
ydfP b1553
ydfQ b1554
ydfR b1555
essQ b1556
cspB b1557
cspF b1558
ydfT b1559
ydfU b1560
rem b1561
hokD b1562
relE b1563
relB b1564
ydfV b1565
flxA b1566
ydfW b1567
ydfX b1568
dicC b1569
dicA b1570
ydfA b1571
ydfB b1572
ydfC b1573
dicF b1574
dicB b1575
ydfD b1576
ydfE b1577
insD b1578
intQ b1579
ynfP b4534
rspB b1580
rspA b1581
ynfA b1582
ynfB b1583
speG b1584
ynfC b1585
ynfD b1586
ynfE b1587
ynfF b1588
ynfG b1589
ynfH b1590
dmsD b1591
clcB b1592
ynfK b1593
dgsA b1594
ynfL b1595
ynfM b1596
asr b1597
ydgD b1598
mdtI b1599
mdtJ b1600
ydgG b1601
pntB b1602
pntA b1603
ydgH b1604
ydgI b1605
folM b1606
ydgC b1607
rstA b1608
rstB b1609
tus b1610
fumC b1611
fumA b1612
manA b1613
ydgA b1614
uidC b1615
uidB b1616
uidA b1617
uidR b1618
hdhA b1619
malI b1620
malX b1621
malY b1622
add b1623
ydgJ b1624
blr b4409
ydgT b1625
ydgK b1626
rsxA b1627
rsxB b1628
rsxC b1629
rsxD b1630
rsxG b1631
rsxE b1632
nth b1633
ydgR b1634
gst b1635
pdxY b1636
tyrS b1637
pdxH b1638
ydhA b1639
ydhH b1640
slyB b1641
slyA b1642
ydhI b1643
ydhJ b1644
ydhK b1645
sodC b1646
ydhF b1647
ydhL b1648
ydhM b1649
nemA b1650
gloA b1651
rnt b1652
lhr b1653
ydhD b1654
ydhO b1655
sodB b1656
ydhP b1657
purR b1658
ydhB b1659
ydhC b1660
cfa b1661
ribC b1662
mdtK b1663
ydhQ b1664
valV b1665
valW b1666
ydhR b1667
ydhS b1668
ydhT b1669
ydhU b1670
ydhX b1671
ydhW b1672
ydhV b1673
ydhY b1674
ydhZ b1675
pykF b1676
lpp b1677
ynhG b1678
sufE b1679
sufS b1680
sufD b1681
sufC b1682
sufB b1683
sufA b1684
rydB b4430
ydiH b1685
ydiI b1686
ydiJ b1687
ydiK b1688
rprA b4431
ydiL b1689
ydiM b1690
ydiN b1691
ydiB b1692
aroD b1693
ydiF b1694
ydiO b1695
ydiP b1696
ydiQ b1697
ydiR b1698
ydiS b1699
ydiT b1700
ydiD b1701
pps b1702
ydiA b1703
aroH b1704
ydiE b1705
ydiU b1706
ydiV b1707
nlpC b1708
btuD b1709
btuE b1710
btuC b1711
ihfA b1712
pheT b1713
pheS b1714
pheM b1715
rplT b1716
rpmI b1717
infC b1718
thrS b1719
arpB b4494
arpB b1721
arpB b1720
yniD b4535
ydiY b1722
pfkB b1723
ydiZ b1724
yniA b1725
yniB b1726
yniC b1727
ydjM b1728
ydjN b1729
ydjO b1730
cedA b1731
katE b1732
chbG b1733
chbF b1734
chbR b1735
chbA b1736
chbC b1737
chbB b1738
osmE b1739
nadE b1740
ydjQ b1741
ydjR b1742
spy b1743
astE b1744
astB b1745
astD b1746
astA b1747
astC b1748
xthA b1749
ydjX b1750
ydjY b1751
ydjZ b1752
ynjA b1753
ynjB b1754
ynjC b1755
ynjD b1756
ynjE b1757
ynjF b1758
nudG b1759
ynjH b1760
gdhA b1761
ynjI b1762
topB b1763
selD b1764
ydjA b1765
sppA b1766
ansA b1767
pncA b1768
ydjE b1769
ydjF b1770
ydjG b1771
ydjH b1772
ydjI b1773
ydjJ b1774
ydjK b1775
ydjL b1776
yeaC b1777
yeaA b1778
gapA b1779
yeaD b1780
yeaE b1781
mipA b1782
yeaG b1783
yeaH b1784
yeaI b1785
yeaJ b1786
yeaK b1787
yoaI b1788
yeaL b1789
yeaM b1790
yeaN b1791
yeaO b1792
yoaF b1793
yeaP b1794
yeaQ b1795
yoaG b1796
yeaR b1797
yeaS b1798
yeaT b1799
yeaU b1800
yeaV b1801
yeaW b1802
yeaX b1803
rnd b1804
fadD b1805
yeaY b1806
yeaZ b1807
yoaA b1808
yoaB b1809
yoaC b1810
yoaH b1811
pabB b1812
